block,scenario,fair,price_on,price_off,kappa,trend,d,lp_on,lp_off,cum_lvr_on,cum_lvr_off,cum_noise_on
20,0,2978313165098355966516,2968426398485478019152,2968426398485478019152,0,1,80966512474781876,5978282091791119269223653,5978282091791119269223653,170968490945965082250,170968490945965082250,0
21,0,2973939274215837276635,2968964369237608300017,2968964369237608300017,0,1,139893897804477344,5973884523405747197447908,5973884523405747197447908,173539269184551754861,173539269184551754861,0
22,0,2969911340366584644239,2958290099581215405425,2958290099581215405425,0,1,127528706830886997,5969846986464243268027206,5969846986464243268027206,173615161426462913912,173615161426462913912,0
23,0,2964859302324024199006,2969097944559965089203,2969097944559965089203,0,1,312747407242164525,5964757311154027724706674,5964757311154027724706674,177283615016355574064,177283615016355574064,0
24,0,2957201288062918201934,2972284596549410165790,2972284596549410165790,0,1,34735089724939080,5957066818859524011975953,5957066818859524011975953,189286484253780774870,189286484253780774870,0
25,0,2949994354778516332491,2946672938385199852580,2946672938385199852580,0,1,40017642121804458,5949785163247145429440625,5949785163247145429440625,231429700133190105037,231429700133190105037,0
26,0,2945596589509177397973,2938903781848241405087,2938903781848241405087,0,2,398327434964214983,5945351528630604501848221,5945351528630604501848221,231528894768912111371,231528894768912111371,0
27,0,2940375364303554852310,2936924616361072193509,2936924616361072193509,0,2,481639393684582963,5940077148913221558766816,5940077148913221558766816,231714967647614123943,231714967647614123943,0
28,0,2944348004525084853441,2951133935884639990943,2951133935884639990943,0,2,503564799481218045,5944091424739450915183066,5944091424739450915183066,236449939853157127634,236449939853157127634,0
29,0,2947781842065810442188,2942142762783739512559,2942142762783739512559,0,2,90484735040147755,5947555340586284817218976,5947555340586284817218976,237410216443031671338,237410216443031671338,0
30,0,2949126271627482047747,2966832142000946741675,2966832142000946741675,0,2,252725542010631143,5948935388970142018759505,5948935388970142018759505,241589842538758335894,241589842538758335894,0
31,0,2956660403574136379169,2953612497858558859342,2953612497858558859342,0,2,222229344706473079,5956503527953063076159133,5956503527953063076159133,250371914366271146106,250371914366271146106,0
32,0,2957784458210940210639,2961310616239732864805,2961310616239732864805,0,2,24762422631972446,5957635948492372693482923,5957635948492372693482923,251855607711220909027,251855607711220909027,0
33,0,2958247579594405477746,2953795026576359269645,2953795026576359269645,0,2,106754116691366182,5958102977498706722820534,5958102977498706722820534,252653241916441998108,252653241916441998108,0
34,0,2951717047164926523700,2968775377479477839254,2968775377479477839254,0,2,43108989603841533,5951545901118116602918395,5951545901118116602918395,253021680739609056355,253021680739609056355,0
35,0,2943152355528031990013,2930715095340466343165,2930715095340466343165,0,2,219784604936614668,5942893790796614735706251,5942893790796614735706251,308839849218391630799,308839849218391630799,0
36,0,2936339213396703099658,2944441439298545031985,2944441439298545031985,0,2,323674546135632315,5936003491028139301374880,5936003491028139301374880,311567147754330910155,311567147754330910155,0
37,0,2928479126257223439541,2912753934985169361093,2912753934985169361093,0,2,101518444611895738,5928069180060537315312341,5928069180060537315312341,333463284344008398290,333463284344008398290,0
38,0,2933228400689761375732,2949353486227576067111,2949353486227576067111,0,2,395285805099771906,5932874960060715667798269,5932874960060715667798269,369850407496153005448,369850407496153005448,0
39,0,2924777821186519529723,2923013471273826739126,2923013471273826739126,0,2,51896917319321648,5924300553580770872202000,5924300553580770872202000,421698887204427636832,421698887204427636832,0
40,0,2916419426524373183243,2899635026729809398021,2899635026729809398021,0,2,183191071830766155,5915853664975019706173362,5915853664975019706173362,425470685584434458456,425470685584434458456,0
41,0,2913249677958729627776,2922250650753248942412,2922250650753248942412,0,2,346588638008659855,5912620341994442467064644,5912620341994442467064644,441688072950082830106,441688072950082830106,0
42,0,2920423402719008888876,2937421971139462896073,2937421971139462896073,0,2,84273342536888504,5919913507788436301883644,5919913507788436301883644,441977577409672874232,441977577409672874232,0
43,0,2923328723534896770064,2911624714998857848999,2911624714998857848999,0,2,67126477624759012,5922844403160111382631333,5922844403160111382631333,459102042188079343736,459102042188079343736,0
44,0,2920537909887760791995,2936482476311640260108,2936482476311640260108,0,2,177443253919052277,5920026574851755915784848,5920026574851755915784848,466015580381505402587,466015580381505402587,0
45,0,2918774852095250477083,2913789287323054725550,2913789287323054725550,0,2,77305843982462647,5918219649219938988000463,5918219649219938988000463,493079614085567662223,493079614085567662223,0
46,0,2911876219710521501136,2904825937182805217839,2904825937182805217839,0,2,135947234415718482,5911223728772167584113569,5911223728772167584113569,493398339478997311376,493398339478997311376,0
47,0,2903773323420507905636,2912301656783619230444,2912301656783619230444,0,2,213256065841566439,5902995409426810260612787,5902995409426810260612787,493495264800644094101,493495264800644094101,0
48,0,2905628733888631112897,2896368819416850173206,2896368819416850173206,0,2,109716903993251001,5904882185162167338821261,5904882185162167338821261,497379238571731886831,497379238571731886831,0
49,0,2905270574498768808032,2908308992562200066758,2908308992562200066758,0,2,274827929756838149,5904511530772778837773527,5904511530772778837773527,504329553868773893174,504329553868773893174,0
50,0,2912667051779219529163,2905847821931382346184,2905847821931382346184,0,2,86023259372265058,5912026101934185406053543,5912026101934185406053543,505986471280366472850,505986471280366472850,0
51,0,2904913705037299760338,2902353799152546675587,2902353799152546675587,0,2,119565354876565285,5904148645997787681570369,5904148645997787681570369,506062760575447750250,506062760575447750250,0
52,0,2909658384141885548080,2895445764233020718003,2895445764233020718003,0,2,173449796792678570,5908985522271465975231571,5908985522271465975231571,510729571481227721741,510729571481227721741,0
53,0,2909790700129702462492,2908320894517178921316,2908320894517178921316,0,2,282212414800956354,5909102353994647414166704,5909102353994647414166704,528770167712510962736,528770167712510962736,0
54,0,2916557313882502722100,2931323993946859230036,2931323993946859230036,0,2,18399435862097302,5915987739176733141080319,5915987739176733141080319,534684418548554976558,534684418548554976558,0
55,0,2911323818491345030275,2925118160430657028313,2925118160430657028313,0,1,354369170330834522,5910675170989827876084455,5910675170989827876084455,569314849444502107735,569314849444502107735,0
56,0,2903795282889278887626,2916785662794891444031,2916785662794891444031,0,1,214582243264840622,5903026084898148406281431,5903026084898148406281431,608811875522923965833,608811875522923965833,0
57,0,2903087664852798540820,2885881675226187907765,2885881675226187907765,0,1,34869185810349596,5902318165861461801909744,5902318165861461801909744,625160440434841721311,625160440434841721311,0
58,0,2900842926035826479201,2907021259189363788467,2907021259189363788467,0,2,387872152445862757,5900013093640120470132854,5900013093640120470132854,644879903706244330952,644879903706244330952,0
59,0,2899450324135968100960,2906302577187830296964,2906302577187830296964,0,2,28150165161993875,5898597490654162377728664,5898597490654162377728664,649894008988704961519,649894008988704961519,0
60,0,2891432548029243783653,2899332510283737315659,2899332510283737315659,0,2,38701224527596262,5890437602815804890747109,5890437602815804890747109,669268317111271135357,669268317111271135357,0
61,0,2887180200728887762403,2872015720601218299643,2872015720601218299643,0,2,150638481748313360,5886119487223136623454058,5886119487223136623454058,682248560441966422668,682248560441966422668,0
62,0,2886386559373048082542,2870186633899568088933,2870186633899568088933,0,2,460327033419891131,5885313332324855630711929,5885313332324855630711929,700575929877922198277,700575929877922198277,0
63,0,2881659860989879883652,2883921848337413125746,2883921848337413125746,0,2,476387307053501003,5880469679745697278680925,5880469679745697278680925,712274691376626818021,712274691376626818021,0
64,0,2888538485235052027527,2904495162098851330769,2904495162098851330769,0,2,154543590973093224,5887505822549779460313289,5887505822549779460313289,714157600834022368385,714157600834022368385,0
65,0,2882488098986343202682,2891023110170860162742,2891023110170860162742,0,2,178690614259194038,5881320666329288319814761,5881320666329288319814761,756685000130811524539,756685000130811524539,0
66,0,2888394127590889336500,2872715888074447558053,2872715888074447558053,0,2,46338824985937828,5887358170647889153612499,5887358170647889153612499,757294110847279937239,757294110847279937239,0
67,0,2883738551242203733233,2899552559626183291601,2899552559626183291601,0,2,280843004941040400,5882611780598517926654754,5882611780598517926654754,768078677345720760411,768078677345720760411,0
68,0,2885863545401715851765,2881288615135434127441,2881288615135434127441,0,2,116609273023475958,5884758647314234316547708,5884758647314234316547708,784551783463951765845,784551783463951765845,0
69,0,2888621869720256402777,2875263990987418857511,2875263990987418857511,0,2,116315663568846450,5887584276290702880282431,5887584276290702880282431,789306907773392512306,789306907773392512306,0
70,0,2893396396743001014066,2885043835528048033558,2885043835528048033558,0,2,186575133124137654,5892438315844376760928401,5892438315844376760928401,818416004384644876118,818416004384644876118,0
71,0,2897996852775191712623,2882635534283482271365,2882635534283482271365,0,2,21829080331432848,5897135559809013272063821,5897135559809013272063821,833208471345314421957,833208471345314421957,0
72,0,2898472089014957042704,2911249588424896976649,2911249588424896976649,0,2,61871045025931528,5897612509299245888707383,5897612509299245888707383,855336714559013699435,855336714559013699435,0
73,0,2906788722180299031576,2920229088450184365150,2920229088450184365150,0,2,338489174871190787,5906068933240200100589024,5906068933240200100589024,857072726874291704197,857072726874291704197,0
74,0,2907126400524188184225,2912039519503625259491,2912039519503625259491,0,1,423240189430048375,5906398367377384782133063,5906398367377384782133063,872003146073683713100,872003146073683713100,0
75,0,2900499409190537425798,2899222170054417075926,2899222170054417075926,0,1,241877944914130968,5899660549415713612096451,5899660549415713612096451,883630649428200580641,883630649428200580641,0
76,0,2897019784966551974451,2898123181354516408370,2898123181354516408370,0,1,6654782657873322,5896120646652342107700817,5896120646652342107700817,884056277151878639703,884056277151878639703,0
77,0,2897830048195652321930,2908078143318990962348,2908078143318990962348,0,1,27562751016984788,5896954207173632639199914,5896954207173632639199914,884063818990504705787,884063818990504705787,0
78,0,2890159069328964951764,2899748327846133264409,2899748327846133264409,0,1,169955377744146299,5889142888817172381158511,5889142888817172381158511,912186957063830229971,912186957063830229971,0
79,0,2898740343340500017241,2916138636814836097829,2916138636814836097829,0,1,25843974438095305,5897897551303119869297897,5897897551303119869297897,912276070539226396724,912276070539226396724,0
80,0,2891509919414884059501,2901671645618544488150,2901671645618544488150,0,1,272996176359105053,5890519993415827439876393,5890519993415827439876393,965243849696577735735,965243849696577735735,0
81,0,2898927846509381741378,2894695912787821657140,2894695912787821657140,0,1,36560038957282100,5898063471927372155935844,5898063471927372155935844,965903689126894479484,965903689126894479484,0
82,0,2899886127927350197422,2897062082699619085200,2897062082699619085200,0,1,160114169900939589,5899037361615386339460793,5899037361615386339460793,968270032963353893443,968270032963353893443,0
83,0,2902294209143723974721,2903840131533342008939,2903840131533342008939,0,1,100241050494262304,5901485658606721631039644,5901485658606721631039644,970671786782323266977,970671786782323266977,0
84,0,2907762088094821045020,2919010029990639572491,2919010029990639572491,0,1,71140809330240035,5907052994820251582484610,5907052994820251582484610,972016885030744579506,972016885030744579506,0
85,0,2913950865400337325740,2919732602194620379794,2919732602194620379794,0,1,352321365628059038,5913327720689809623995891,5913327720689809623995891,974241124136112509708,974241124136112509708,0
86,0,2915681259847972723185,2902699792222937242971,2902699792222937242971,0,1,363757570408602266,5915095036051142597906067,5915095036051142597906067,975666683701960403684,975666683701960403684,0
87,0,2915845881102579139119,2920170128056915562232,2920170128056915562232,0,1,103816538707570972,5915248919828129458893866,5915248919828129458893866,990764314669058628680,990764314669058628680,0
88,0,2912844645576782817513,2917415287463887773910,2917415287463887773910,0,1,233219712694424272,5912204092303808473243867,5912204092303808473243867,995426678033783333581,995426678033783333581,0
89,0,2913028109807037871648,2927913248493696171459,2927913248493696171459,0,1,163378988020506947,5912407660178888866269777,5912407660178888866269777,997100465938238528089,997100465938238528089,0
90,0,2906232634602115113285,2893444886278286950243,2893444886278286950243,0,1,340936416614772244,5905502617374967690913399,5905502617374967690913399,1037877806149416703433,1037877806149416703433,0
91,0,2897992323279829884868,2896016870254127144625,2896016870254127144625,0,1,284693241357516797,5897110472247491224123585,5897110472247491224123585,1039695706702467294607,1039695706702467294607,0
92,0,2895861318485525805602,2906416104136244199077,2906416104136244199077,0,1,230835532583209543,5894951298561808469121174,5894951298561808469121174,1039697832689323839646,1039697832689323839646,0
93,0,2902202655951308361686,2892493561244476166960,2892493561244476166960,0,1,16037718035543292,5901400650826574879202656,5901400650826574879202656,1041250413575011214583,1041250413575011214583,0
94,0,2902234706337516971713,2906670992617073893267,2906670992617073893267,0,1,238553420451888943,5901426674000360145220549,5901426674000360145220549,1049588793649981526198,1049588793649981526198,0
95,0,2897571243292382373650,2902314086191235881430,2902314086191235881430,0,1,38271232276170743,5896683658734616589177875,5896683658734616589177875,1056835593867379813562,1056835593867379813562,0
96,0,2902147025458192506021,2910994795606587626301,2910994795606587626301,0,1,43696139353807215,5901342642321332542295068,5901342642321332542295068,1056838038115481082924,1056838038115481082924,0
97,0,2909867318662617185689,2921221139897809229015,2921221139897809229015,0,1,127686518834364351,5909191163738486509712170,5909191163738486509712170,1056948888690128534797,1056948888690128534797,0
98,0,2916989251221040106792,2899620649541809856137,2899620649541809856137,0,1,297101101751804351,5916433311223937591384943,5916433311223937591384943,1058503197108383698519,1058503197108383698519,0
99,0,2913338941730873656824,2916868402003648569565,2916868402003648569565,0,1,143140034132228169,5912704974281313203342417,5912704974281313203342417,1074968261670034669211,1074968261670034669211,0
100,0,2915981995041364134234,2915139217200090646775,2915139217200090646775,0,1,146283349758584229,5915385420363343741184611,5915385420363343741184611,1075036567487900714197,1075036567487900714197,0
101,0,2911831076310758821982,2909520478671573624436,2909520478671573624436,0,1,111122716074716337,5911174030648827008083988,5911174030648827008083988,1075989201772208749217,1075989201772208749217,0
102,0,2905398927547929263719,2904237085055285138241,2904237085055285138241,0,1,12110593152743172,5904641269794749792434763,5904641269794749792434763,1077472394746512820827,1077472394746512820827,0
103,0,2901958755708404652243,2899262254173556523865,2899262254173556523865,0,1,126230346348753879,5901145023829162411750440,5901145023829162411750440,1077926708561539436604,1077926708561539436604,0
104,0,2900429860805728019431,2917512887923380865269,2917512887923380865269,0,1,230975726195403371,5899615106972287841149898,5899615106972287841149898,1078046265573593991675,1078046265573593991675,0
105,0,2906596444100418451498,2899880983600313914041,2899880983600313914041,0,1,205039783065972256,5905861832418072010487411,5905861832418072010487411,1088420533760836289719,1088420533760836289719,0
106,0,2901687461442495256311,2887048545144070408693,2887048545144070408693,0,1,155956233905998194,5900887409471891591349180,5900887409471891591349180,1088706595920384381160,1088706595920384381160,0
107,0,2897012786734076378427,2892686443052690123235,2892686443052690123235,0,1,337468899577786137,5896115064382263474445163,5896115064382263474445163,1097455618125743592944,1097455618125743592944,0
108,0,2904000696112125679141,2897762921391755392806,2897762921391755392806,0,1,196037893177701646,5903223580042656809285674,5903223580042656809285674,1108700432234171410928,1108700432234171410928,0
109,0,2903167060920585972144,2886258774778989306988,2886258774778989306988,0,1,69037555412749331,5902397977729077495953579,5902397977729077495953579,1111261698820556549336,1111261698820556549336,0
110,0,2898082357388049769622,2906403832532675176388,2906403832532675176388,0,1,284493400396683838,5897207793998302411847525,5897207793998302411847525,1123581614479445721055,1123581614479445721055,0
111,0,2901734687764697087374,2904157319550041404745,2904157319550041404745,0,1,146985466052650184,5900917074151610420443258,5900917074151610420443258,1125488349910527526809,1125488349910527526809,0
112,0,2901837965109864772597,2903688272310497107081,2903688272310497107081,0,1,95831389884835701,5901021870702809503522940,5901021870702809503522940,1125959195107703547208,1125959195107703547208,0
113,0,2908940414935464664762,2891928589002933122061,2891928589002933122061,0,1,83217223753905433,5908264144096142207752990,5908264144096142207752990,1128371077718297994501,1128371077718297994501,0
114,0,2905549537461101062265,2894306847871071693813,2894306847871071693813,0,1,204399872894602107,5904805285812319118086982,5904805285812319118086982,1144668278987238561481,1144668278987238561481,0
115,0,2909565986134538333554,2910080980692310378033,2910080980692310378033,0,1,128526824359801103,5908874013467278821088784,5908874013467278821088784,1165090417820078161094,1165090417820078161094,0
116,0,2903177259601305363729,2901203514116129031327,2901203514116129031327,0,1,257870220456308085,5902383513763623431968151,5902383513763623431968151,1169252638541024762703,1169252638541024762703,0
117,0,2901892870201664698496,2915748552371084319559,2915748552371084319559,0,1,13937429417574468,5901094133266067285034260,5901094133266067285034260,1169294274539082028589,1169294274539082028589,0
118,0,2901135028490339826882,2899943943258363144416,2899943943258363144416,0,1,294044803927543252,5900306925026579998489975,5900306925026579998489975,1187914109100347881715,1187914109100347881715,0
119,0,2896066215191539644964,2904506837611407628187,2904506837611407628187,0,1,66289392686654639,5895156331153508207161052,5895156331153508207161052,1189233463412944713871,1189233463412944713871,0
120,0,2901388433864812343761,2887932386733268332597,2887932386733268332597,0,1,31248739947172292,5900580420425180458307890,5900580420425180458307890,1190084581756967339784,1190084581756967339784,0
121,0,2906488487061781849789,2899112212579731368163,2899112212579731368163,0,1,271823174574607266,5905752970417056575738139,5905752970417056575738139,1220367771790683932251,1220367771790683932251,0
122,0,2910834250121834561836,2901281763104805830261,2901281763104805830261,0,1,19070199035029382,5910169655459865589345875,5910169655459865589345875,1232396858249720210711,1232396858249720210711,0
123,0,2911746717082955405119,2916340366105169213369,2916340366105169213369,0,1,27694263828670688,5911089773632137807773291,5911089773632137807773291,1241975594702340846841,1241975594702340846841,0
124,0,2916304415976640504667,2929886699106865422275,2929886699106865422275,0,1,303985904516613728,5915728347783831023653546,5915728347783831023653546,1241975707071438652037,1241975707071438652037,0
125,0,2910172207952571928794,2893556690482586072434,2893556690482586072434,0,1,471903116817298210,5909513747056615106477932,5909513747056615106477932,1275647044915309344825,1275647044915309344825,0
126,0,2904731354553211660527,2898014213879649850279,2898014213879649850279,0,1,187670982132990484,5903966714206819486550449,5903966714206819486550449,1286611428069610863349,1286611428069610863349,0
127,0,2902058645114874299482,2917441987092428020309,2917441987092428020309,0,1,110903585705524447,5901266566191624034950335,5901266566191624034950335,1288046130689531973131,1288046130689531973131,0
128,0,2905955320380684814513,2918305255772088731455,2918305255772088731455,0,1,177534144089444884,5905219778731970485710992,5905219778731970485710992,1299534054815749911791,1299534054815749911791,0
129,0,2909007476942880993014,2910759150303897642550,2910759150303897642550,0,1,189186542465785278,5908307108279566246960160,5908307108279566246960160,1307054709461073985772,1307054709461073985772,0
130,0,2902240637493144171902,2901266515246261083007,2901266515246261083007,0,1,29614483771691370,5901431066370642419387657,5901431066370642419387657,1313391290358822741536,1313391290358822741536,0
131,1,2918150442582490744566,2909556203271660696885,2909556203271660696885,0,1,150215145780753796,5917590849992332636238261,5917590849992332636238261,1338297360472005119398,1338297360472005119398,0
132,1,2923498805804366873315,2917989213652443561748,2917989213652443561748,0,1,33996302131905335,5923007418399005980415360,5923007418399005980415360,1355217716556507327477,1355217716556507327477,0
133,1,2934500889514587210454,2928495257966126867437,2928495257966126867437,0,1,197050565745664115,5934142534725986809309397,5934142534725986809309397,1378835072543359141822,1378835072543359141822,0
134,1,2954729763019023638173,2972162389638513347352,2972162389638513347352,0,1,363751422511937548,5954583436230277949515079,5954583436230277949515079,1438037677815327771060,1438037677815327771060,0
135,1,2960864818117329933081,2978788256955457402286,2978788256955457402286,0,1,692448110816025185,5960763487562992071208710,5960763487562992071208710,1448844266381320156767,1448844266381320156767,0
136,1,2983402019838968132404,2995656342659495348263,2995656342659495348263,0,1,719682813148029474,5983391565344641896076525,5983391565344641896076525,1450635761338742928163,1450635761338742928163,0
137,1,2990842235603013721202,2979597008164405682248,2979597008164405682248,0,1,781120204801161738,5990845862504428265124802,5990845862504428265124802,1452572822399483424603,1452572822399483424603,0
138,1,2991115217870246258592,3008157350286771707887,3008157350286771707887,0,1,412698376626090531,5991132802829284335628775,5991132802829284335628775,1463720800161638836604,1463720800161638836604,0
139,1,2995142950637816954996,3002196719140238554493,3002196719140238554493,0,1,597427887571627855,5995145129761037275607127,5995145129761037275607127,1477808467142106212350,1477808467142106212350,0
140,1,2995721320356799374788,2979340876595555586736,2979340876595555586736,0,1,476710439257855517,5995742324664776977481198,5995742324664776977481198,1481302634457607382042,1481302634457607382042,0
141,1,3004882885835701756594,2987150249886087914790,2987150249886087914790,0,1,82664488356929415,6004907195706884839323896,6004907195706884839323896,1536001057162467748941,1536001057162467748941,0
142,1,3018970036460860174955,3002463749678173497492,3002463749678173497492,0,1,176726952950233851,6018962757108701993587848,6018962757108701993587848,1620471669875697234555,1620471669875697234555,0
143,1,3022343610317433032497,3025831451967026211748,3025831451967026211748,0,1,341574940206491285,6022303162826985573210234,6022303162826985573210234,1653256763904941681065,1653256763904941681065,0
144,1,3024976923803161213033,3017047239305027137265,3017047239305027137265,0,1,522702951936402281,6024930340696358329752020,6024930340696358329752020,1653316846354417195891,1653316846354417195891,0
145,1,3033475888286960152506,3036892440021479420334,3036892440021479420334,0,1,348776773056853063,6033383975056348830130132,6033383975056348830130132,1675557684659218616385,1675557684659218616385,0
146,1,3037468100117637904767,3024113173088963061639,3024113173088963061639,0,1,507385384405244689,6037366489899166730990573,6037366489899166730990573,1675584795788851266830,1675584795788851266830,0
147,1,3043096887855130642603,3033472474451703660924,3033472474451703660924,0,1,260548816158958879,6042950790920614316647836,6042950790920614316647836,1705165332048138403071,1705165332048138403071,0
148,1,3059531445028195565516,3057401565265932815706,3057401565265932815706,0,1,356996318794810097,6059239374010336332858504,6059239374010336332858504,1760582667696121986410,1760582667696121986410,0
149,1,3070055909936551134807,3055258829183715612427,3055258829183715612427,0,1,545441757112467213,6069669341301963489855522,6069669341301963489855522,1773526231405144043930,1773526231405144043930,0
150,1,3088275345188604299680,3069945952222439600411,3069945952222439600411,0,1,496525205109833843,6087662314403818451443855,6087662314403818451443855,1861439407818550584637,1861439407818550584637,0
151,1,3093507142544728016500,3098301503574005673421,3098301503574005673421,0,1,603762782229524151,6092791475764478234876658,6092791475764478234876658,1905957568547140861719,1905957568547140861719,0
152,1,3108781781462270725030,3106179831412159231590,3106179831412159231590,0,1,737667072701032443,6107813677271489428724699,6107813677271489428724699,1914663738208275698904,1914663738208275698904,0
153,1,3109626880592334886281,3125964749355552147065,3125964749355552147065,0,1,765077922827836585,6108664235079614836290995,6108664235079614836290995,1915603060925201924629,1915603060925201924629,0
154,1,3113586204843419949901,3124965821049296874766,3124965821049296874766,0,1,822907425411790473,6112541106227353852920610,6112541106227353852920610,1927631931458385187113,1927631931458385187113,0
155,1,3128119047596771976629,3140069451924051626687,3140069451924051626687,0,1,795102839766483854,6126790759678811143044980,6126790759678811143044980,1928410907407391246950,1928410907407391246950,0
156,1,3135134629919105776993,3143943870584837690531,3143943870584837690531,0,1,840872370150077131,6133652224307249702452972,6133652224307249702452972,1930307509400800135301,1930307509400800135301,0
157,1,3157799651028701958072,3141466565665341778212,3141466565665341778212,0,1,851478357280901645,6155798126063436659199243,6155798126063436659199243,1945187238585547931961,1945187238585547931961,0
158,1,3159248036457477573484,3174657787271598028983,3174657787271598028983,0,1,757856905053012459,6157207226797429253379916,6157207226797429253379916,1969706694485658230947,1969706694485658230947,0
159,1,3166447157912309121833,3161332779673023031833,3161332779673023031833,0,1,868596702945058559,6164202358533113560055523,6164202358533113560055523,1974874073414383440751,1974874073414383440751,0
160,1,3176150569181126214958,3195160147782697904450,3195160147782697904450,0,1,520692239226716332,6173665533713392882775434,6173665533713392882775434,1991749164632332605091,1991749164632332605091,0
161,1,3179727052729258428620,3175815109333438322094,3175815109333438322094,0,1,698343496672707699,6177114139211927985188708,6177114139211927985188708,2009850829082363405537,2009850829082363405537,0
162,1,3196019520760542880950,3186153479058048623422,3186153479058048623422,0,1,343257604296547926,6192925471924558637058465,6192925471924558637058465,2040984621774445396694,2040984621774445396694,0
163,1,3211866737517502628015,3225444458582528560130,3225444458582528560130,0,1,423842724265306368,6208266450398659579601543,6208266450398659579601543,2091122697464193547984,2091122697464193547984,0
164,1,3218792404375395919922,3205900945219245327719,3205900945219245327719,0,1,634977737617502120,6214954896746054646403696,6214954896746054646403696,2094433825906100497344,2094433825906100497344,0
165,1,3240515330614440233916,3226568466990261015494,3226568466990261015494,0,1,332344918865093245,6235893265892639252249874,6235893265892639252249874,2184332568096781991626,2184332568096781991626,0
166,1,3255286745579601786755,3240307885996898580221,3240307885996898580221,0,1,463574959000711977,6250091893222770544319234,6250091893222770544319234,2245677657390921907924,2245677657390921907924,0
167,1,3280794084108467563000,3296022397742989959556,3296022397742989959556,0,1,538544260441252972,6274531064812301501153403,6274531064812301501153403,2366607831576955614578,2366607831576955614578,0
168,1,3304980908521175323431,3306909782448984473795,3306923888274652730530,2582104062997715,1,728698760002727816,6297614107636224403729273,6297600680183002342611187,2366607831576955614578,2372407423620093429765,2385657292660583546
169,1,3325651038605966435087,3345050385940853798532,3345104866189686095955,2830225219802140,1,753281513561075490,6317354643583898674574302,6317289915061200819797787,2366607831576955614578,2397588867373191958359,28344778608387552621
170,1,3338522969422690509671,3327483076735825005033,3327482963637876615603,9886561623345156,1,822996502566318948,6329550410571971562526864,6329485407163057246571527,2369626447070529137713,2400658000608123411367,28344778608387552621
